x,z,y,buried,remote,label
0.06,0.487,-0.005,False,False,1
0.11,0.487,-0.005,False,False,2
0.16,0.487,-0.005,False,False,3
0.21,0.487,-0.005,False,False,4
0.26,0.487,-0.005,False,False,5
0.31,0.487,-0.005,False,False,6
0.36,0.487,-0.005,False,False,7
0.41,0.487,-0.005,False,False,8
0.06,0.425,0.0,True,False,9
0.11,0.425,0.0,True,False,10
0.16,0.425,0.0,True,False,11
0.21,0.425,0.0,True,False,12
0.26,0.425,0.0,True,False,13
0.31,0.425,0.0,True,False,14
0.36,0.425,0.0,True,False,15
0.41,0.425,0.0,True,False,16
0.06,0.375,0.0,True,False,17
0.11,0.375,0.0,True,False,18
0.16,0.375,0.0,True,False,19
0.21,0.375,0.0,True,False,20
0.26,0.375,0.0,True,False,21
0.31,0.375,0.0,True,False,22
0.36,0.375,0.0,True,False,23
0.41,0.375,0.0,True,False,24
0.06,0.325,0.0,True,False,25
0.11,0.325,0.0,True,False,26
0.16,0.325,0.0,True,False,27
0.21,0.325,0.0,True,False,28
0.26,0.325,0.0,True,False,29
0.31,0.325,0.0,True,False,30
0.36,0.325,0.0,True,False,31
0.41,0.325,0.0,True,False,32
0.06,0.275,0.0,True,False,33
0.11,0.275,0.0,True,False,34
0.16,0.275,0.0,True,False,35
0.21,0.275,0.0,True,False,36
0.26,0.275,0.0,True,False,37
0.31,0.275,0.0,True,False,38
0.36,0.275,0.0,True,False,39
0.41,0.275,0.0,True,False,40
0.06,0.225,0.0,True,False,41
0.11,0.225,0.0,True,False,42
0.16,0.225,0.0,True,False,43
0.21,0.225,0.0,True,False,44
0.26,0.225,0.0,True,False,45
0.31,0.225,0.0,True,False,46
0.36,0.225,0.0,True,False,47
0.41,0.225,0.0,True,False,48
0.06,0.175,0.0,True,False,49
0.11,0.175,0.0,True,False,50
0.16,0.175,0.0,True,False,51
0.21,0.175,0.0,True,False,52
0.26,0.175,0.0,True,False,53
0.31,0.175,0.0,True,False,54
0.36,0.175,0.0,True,False,55
0.41,0.175,0.0,True,False,56
0.06,0.125,0.0,True,False,57
0.11,0.125,0.0,True,False,58
0.16,0.125,0.0,True,False,59
0.21,0.125,0.0,True,False,60
0.26,0.125,0.0,True,False,61
0.31,0.125,0.0,True,False,62
0.36,0.125,0.0,True,False,63
0.41,0.125,0.0,True,False,64
0.06,0.075,0.0,True,False,65
0.11,0.075,0.0,True,False,66
0.16,0.075,0.0,True,False,67
0.21,0.075,0.0,True,False,68
0.26,0.075,0.0,True,False,69
0.31,0.075,0.0,True,False,70
0.36,0.075,0.0,True,False,71
0.41,0.075,0.0,True,False,72
